CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
73,"['Rename Attribute', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Change Return Type', 'Change Return Type']",dubbo,64d6ac8060ccea8aa04e21311ae13ac137ec4396,1be3c999d112215a1354ab396cb2fbb94f3d2a0e,DispersedCoupling,2,0,0,0,0
73,"['Rename Attribute', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Change Return Type', 'Change Return Type']",dubbo,64d6ac8060ccea8aa04e21311ae13ac137ec4396,1be3c999d112215a1354ab396cb2fbb94f3d2a0e,ShotgunSurgery,2,0,0,0,0
73,"['Rename Attribute', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Change Return Type', 'Change Return Type']",dubbo,64d6ac8060ccea8aa04e21311ae13ac137ec4396,1be3c999d112215a1354ab396cb2fbb94f3d2a0e,MessageChain,2,0,0,0,0
77,"['Rename Variable', 'Extract Method']",dubbo,920310ccffa407b75b3ff84d514cbe917d6ede5d,e5ca42bcffb4b32ec5acb021d7c27960acf3cb94,FeatureEnvy,1,1,0,0,0
77,"['Rename Variable', 'Extract Method']",dubbo,920310ccffa407b75b3ff84d514cbe917d6ede5d,e5ca42bcffb4b32ec5acb021d7c27960acf3cb94,LongMethod,1,0,0,0,0
77,"['Rename Variable', 'Extract Method']",dubbo,920310ccffa407b75b3ff84d514cbe917d6ede5d,e5ca42bcffb4b32ec5acb021d7c27960acf3cb94,DispersedCoupling,2,2,0,0,0
77,"['Rename Variable', 'Extract Method']",dubbo,920310ccffa407b75b3ff84d514cbe917d6ede5d,e5ca42bcffb4b32ec5acb021d7c27960acf3cb94,MessageChain,0,2,1,0,0
83,"['Pull Up Method', 'Pull Up Attribute', 'Move Class']",dubbo,9ce0676908adbb5d073727c47b5a32dda153230e,41dc13537aeb161079adb5085115de35bf2f8c0a,FeatureEnvy,2,1,0,1,0
83,"['Pull Up Method', 'Pull Up Attribute', 'Move Class']",dubbo,9ce0676908adbb5d073727c47b5a32dda153230e,41dc13537aeb161079adb5085115de35bf2f8c0a,LongMethod,2,1,0,1,0
143,"['Rename Parameter', 'Move Attribute', 'Move Method']",dubbo,b26604ffb470b043bd9dbd215617ff94e59aa298,b89df9d8f164f147c98b6c6af41337afaff203c5,FeatureEnvy,1,1,0,0,0
143,"['Rename Parameter', 'Move Attribute', 'Move Method']",dubbo,b26604ffb470b043bd9dbd215617ff94e59aa298,b89df9d8f164f147c98b6c6af41337afaff203c5,LongMethod,1,0,0,0,0
143,"['Rename Parameter', 'Move Attribute', 'Move Method']",dubbo,b26604ffb470b043bd9dbd215617ff94e59aa298,b89df9d8f164f147c98b6c6af41337afaff203c5,DispersedCoupling,1,1,0,0,0
153,"['Extract Method', 'Extract Variable']",dubbo,c84511c6a7a6665dcf03e1dd06cdf077c13c008a,549f97ccf328dcb00eb260dbfe6fe8a27fedab1e,FeatureEnvy,1,0,0,0,0
236,"['Change Parameter Type', 'Rename Parameter', 'Change Variable Type', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Change Variable Type', 'Rename Parameter', 'Rename Parameter', 'Rename Method', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Extract Method', 'Rename Method', 'Change Attribute Type', 'Change Return Type']",dubbo,fe562c3feeb2261b06b4c391e2077c2fc78d1a5d,9a20383885fad3f4a39ab23d37d20c55f533532d,FeatureEnvy,5,2,0,3,0
236,"['Change Parameter Type', 'Rename Parameter', 'Change Variable Type', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Change Variable Type', 'Rename Parameter', 'Rename Parameter', 'Rename Method', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Extract Method', 'Rename Method', 'Change Attribute Type', 'Change Return Type']",dubbo,fe562c3feeb2261b06b4c391e2077c2fc78d1a5d,9a20383885fad3f4a39ab23d37d20c55f533532d,MessageChain,3,1,0,2,0
