Composite,Number of occurrence
"[Change Variable Type, Move Attribute, Move Method]",4
"[Extract Method, Extract Method, Rename Parameter]",14
"[Extract Method, Rename Parameter, Change Parameter Type, Rename Method]",1
"[Change Variable Type, Extract Class, Change Variable Type, Change Variable Type]",4
"[Pull Up Attribute, Pull Up Attribute, Extract Superclass]",17
"[Pull Up Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",2
"[Rename Parameter, Pull Up Method]",16
"[Rename Variable, Change Variable Type, Extract Class, Change Variable Type]",2
"[Rename Variable, Extract Method, Rename Variable, Extract Method, Extract Method]",1
"[Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute]",2
"[Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",1
"[Rename Variable, Extract Class, Change Variable Type]",4
"[Rename Variable, Move And Rename Attribute, Change Variable Type, Move Method]",1
"[Rename Variable, Extract Class, Change Variable Type, Change Variable Type]",2
"[Rename Variable, Change Parameter Type, Change Parameter Type]",4
"[Inline Variable, Rename Variable, Rename Variable]",7
"[Rename Variable, Change Variable Type, Extract Class]",2
"[Extract Method, Extract Method]",368
"[Rename Parameter, Change Parameter Type]",12
"[Change Variable Type, Change Variable Type, Change Variable Type, Extract And Move Method, Change Attribute Type, Rename Parameter, Extract And Move Method]",1
"[Rename Parameter, Change Parameter Type, Rename Method, Change Variable Type]",2
"[Extract Variable, Extract Method, Extract Method]",2
"[Change Variable Type, Change Variable Type]",70
"[Rename Method, Rename Parameter, Extract Method, Extract Method]",1
"[Change Variable Type, Rename Parameter, Rename Method]",2
"[Rename Parameter, Change Parameter Type, Change Variable Type]",4
"[Change Variable Type, Extract Method, Extract Method, Extract Attribute]",2
"[Extract Variable, Extract Method, Extract Variable]",10
"[Extract Method, Rename Variable, Extract Method, Rename Variable, Extract Method, Extract Method]",1
"[Extract Method, Change Parameter Type, Rename Method]",2
"[Extract Method, Rename Parameter, Rename Parameter]",14
"[Change Variable Type, Change Variable Type, Extract Class]",2
"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",4
"[Pull Up Method, Change Parameter Type]",44
"[Rename Variable, Pull Up Attribute]",12
"[Extract Method, Rename Parameter, Rename Method]",2
"[Rename Variable, Move And Rename Attribute]",2
"[Rename Variable, Rename Variable]",54
"[Change Return Type, Change Return Type, Change Return Type, Change Return Type]",2
"[Extract And Move Method, Change Attribute Type, Rename Parameter]",4
"[Change Variable Type, Extract And Move Method, Change Attribute Type]",4
"[Extract Method, Extract Method, Extract Method, Change Parameter Type, Extract Method]",1
"[Extract Method, Rename Parameter, Rename Method, Change Variable Type]",1
"[Change Return Type, Change Return Type, Change Return Type, Move Attribute, Change Return Type]",3
"[Extract Method, Extract Variable]",100
"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",1
"[Rename Method, Extract Method, Change Variable Type, Rename Parameter, Change Parameter Type, Rename Method, Change Variable Type]",1
"[Move And Rename Attribute, Change Variable Type, Move Method]",1
"[Pull Up Method, Pull Up Attribute]",38
"[Rename Variable, Move And Rename Attribute, Change Variable Type]",1
"[Change Variable Type, Extract Class, Change Variable Type]",14
"[Extract Method, Rename Method, Change Variable Type]",3
"[Rename Parameter, Rename Attribute]",1
"[Rename Variable, Extract Method]",52
"[Rename Method, Rename Parameter, Extract Method]",4
"[Rename Method, Rename Method, Rename Method, Rename Method, Rename Method]",3
"[Extract Method, Change Parameter Type, Extract Method]",13
"[Change Variable Type, Extract Method, Extract Method]",3
"[Change Return Type, Move Attribute]",42
"[Extract Class, Change Variable Type, Change Variable Type]",6
"[Change Variable Type, Move Method, Move Method]",2
"[Rename Method, Rename Parameter, Extract Method, Extract Attribute]",2
"[Pull Up Method, Pull Up Method, Rename Parameter, Pull Up Method]",5
"[Change Return Type, Change Return Type, Move Attribute, Change Return Type]",8
"[Extract Method, Extract Method, Extract Attribute]",6
"[Extract Variable, Extract Variable, Extract Variable, Extract Method]",2
"[Pull Up Method, Pull Up Method, Rename Parameter]",8
"[Pull Up Method, Pull Up Method]",58
"[Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type]",1
"[Change Variable Type, Change Variable Type, Change Attribute Type, Rename Parameter, Extract And Move Method]",1
"[Extract And Move Method, Change Attribute Type]",12
"[Extract Method, Extract Variable, Extract Variable]",28
"[Extract Method, Rename Parameter, Change Variable Type]",2
"[Extract Method, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Method]",1
"[Extract Method, Extract Method, Extract Method, Change Parameter Type]",1
"[Change Variable Type, Change Variable Type, Extract And Move Method, Change Attribute Type, Rename Parameter, Extract And Move Method]",1
"[Change Variable Type, Change Attribute Type]",14
"[Rename Variable, Extract Method, Rename Variable, Extract Method]",2
"[Extract Method, Extract Method, Extract Variable, Extract Variable, Extract Variable]",1
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",3
"[Pull Up Method, Extract Method, Rename Parameter]",8
"[Move Attribute, Move Attribute, Move Attribute, Move Attribute, Move Method, Move Attribute]",1
"[Extract Variable, Extract Method, Extract Variable, Extract Variable, Extract Variable]",2
"[Change Variable Type, Change Parameter Type, Rename Method, Change Variable Type]",2
"[Extract Method, Extract Variable, Extract Method]",14
"[Rename Parameter, Rename Parameter, Rename Parameter]",17
"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute]",5
"[Inline Variable, Extract Variable]",6
"[Inline Variable, Extract Variable, Rename Variable, Rename Variable]",3
"[Change Parameter Type, Extract Method]",35
"[Rename Method, Rename Parameter]",6
"[Pull Up Method, Pull Up Method, Pull Up Attribute, Change Parameter Type, Change Parameter Type]",1
"[Move Attribute, Change Return Type]",16
"[Inline Variable, Rename Variable, Rename Variable, Rename Variable]",2
"[Change Variable Type, Change Parameter Type, Rename Method]",3
"[Rename Parameter, Extract Method, Extract Attribute]",8
"[Move And Rename Attribute, Move Method]",2
"[Rename Parameter, Extract Attribute]",12
"[Change Variable Type, Extract And Move Method, Change Attribute Type, Extract And Move Method]",2
"[Change Return Type, Change Return Type, Change Return Type, Move Attribute]",2
"[Rename Parameter, Extract Method, Extract Method, Extract Attribute]",2
"[Pull Up Method, Pull Up Method, Pull Up Method]",10
"[Extract And Move Method, Rename Parameter]",12
"[Change Parameter Type, Pull Up Method, Pull Up Method, Pull Up Method]",1
"[Move Attribute, Move Attribute, Move Attribute, Move Attribute, Move Attribute, Move Method, Move Attribute]",1
"[Move Attribute, Move Attribute, Move Method, Move Method, Move Attribute]",1
"[Move Attribute, Move Method, Move Method]",7
"[Rename Method, Change Variable Type, Rename Parameter, Extract Method, Extract Method, Extract Attribute]",1
"[Extract Method, Change Variable Type]",7
"[Rename Variable, Move And Rename Attribute, Move Method]",1
