Composite Ids,Composite,Number of occurrence
[125],"[Rename Variable, Inline Variable, Change Variable Type, Rename Variable, Inline Variable, Extract Variable, Extract Variable, Change Return Type, Extract Variable, Extract Variable, Rename Variable, Inline Method, Change Parameter Type, Change Attribute Type, Extract Variable, Extract Variable, Extract Method, Extract Method, Extract Variable, Extract Method, Change Attribute Type, Change Attribute Type, Change Variable Type, Rename Variable, Extract Variable, Extract Variable, Extract Variable]",1
[71],"[Extract Method, Rename Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
[134],"[Change Attribute Type, Change Variable Type, Replace Variable With Attribute, Extract Method, Rename Attribute, Extract Variable]",1
[53],"[Extract Variable, Extract Variable, Rename Variable, Extract Method, Parameterize Variable, Extract Method]",1
[100],"[Extract Method, Change Parameter Type, Change Parameter Type, Rename Parameter, Rename Parameter]",1
[129],"[Rename Variable, Extract Method, Rename Variable, Extract Method, Rename Variable, Rename Variable, Extract Method, Extract Method]",1
[7],"[Change Variable Type, Extract Variable, Parameterize Variable, Change Variable Type, Change Variable Type, Extract Method, Change Parameter Type]",1
[98],"[Extract Class, Move Method, Rename Variable, Move Method]",1
[145],"[Rename Parameter, Extract Method, Change Attribute Type, Change Parameter Type, Change Attribute Type, Change Parameter Type, Rename Attribute]",1
"[26, 115, 120]","[Extract Method, Rename Variable]",3
[96],"[Change Attribute Type, Change Attribute Type, Inline Method, Rename Variable, Change Attribute Type, Extract Method, Replace Variable With Attribute, Change Return Type, Extract Variable, Inline Variable, Rename Variable, Rename Attribute]",1
[3],"[Change Attribute Type, Change Variable Type, Change Return Type, Rename Variable, Extract Method]",1
[132],"[Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method]",1
[30],"[Extract Method, Extract Method, Rename Variable, Extract Method, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Extract Method, Extract Method, Extract Method, Extract Method]",1
[9],"[Extract Method, Extract Variable, Inline Method, Extract Variable, Extract Method, Extract Variable]",1
[146],"[Rename Variable, Extract Method, Rename Variable, Extract Method, Rename Variable]",1
[110],"[Change Parameter Type, Move Method, Change Parameter Type, Rename Parameter]",1
[99],"[Inline Variable, Change Attribute Type, Change Variable Type, Change Attribute Type, Change Parameter Type, Extract Method]",1
[52],"[Inline Variable, Inline Method, Extract Method, Rename Variable, Extract Variable, Change Parameter Type, Change Variable Type, Extract Method]",1
[121],"[Extract Method, Rename Parameter, Extract Method, Extract Method, Extract Method]",1
[24],"[Extract Variable, Pull Up Method]",1
[40],"[Extract Method, Change Variable Type]",1
[133],"[Extract Method, Change Attribute Type, Change Attribute Type]",1
"[18, 22]","[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",2
[20],"[Extract Method, Rename Variable, Parameterize Variable, Extract Method, Rename Variable, Extract Method, Rename Variable, Extract Method, Parameterize Variable, Rename Variable, Parameterize Variable, Parameterize Variable]",1
[56],"[Extract Method, Extract Method, Rename Variable, Change Variable Type]",1
[138],"[Move Attribute, Change Attribute Type, Extract Class, Move Attribute, Move Attribute, Rename Attribute, Move Attribute, Move Method]",1
[50],"[Extract Method, Extract Method, Rename Method, Extract Attribute, Rename Method, Rename Method]",1
[61],"[Move Method, Rename Attribute, Rename Attribute]",1
"[27, 38]","[Extract Method, Extract Class, Move Method, Move Method, Move Method]",2
[130],"[Extract Variable, Extract Method, Extract Variable, Rename Method, Extract Method]",1
[66],"[Extract Method, Replace Variable With Attribute]",1
[74],"[Extract Method, Extract Method, Change Attribute Type, Rename Attribute]",1
"[85, 150]","[Extract Method, Change Attribute Type]",2
[11],"[Extract Method, Rename Variable, Merge Parameter, Change Return Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Change Return Type, Extract Variable]",1
[36],"[Rename Parameter, Rename Parameter, Parameterize Variable, Extract Method]",1
[2],"[Move Method, Move Method, Rename Method, Move Method, Move Method, Extract Class, Move Method, Extract Method]",1
[80],"[Extract Method, Extract Method, Extract Method, Change Variable Type, Extract Method]",1
[106],"[Rename Method, Change Attribute Type, Extract Method, Extract Variable]",1
[13],"[Rename Parameter, Rename Attribute, Extract Method, Move Attribute]",1
"[89, 107]","[Extract Method, Parameterize Variable, Extract Method]",2
[131],"[Move Attribute, Change Return Type, Move Method]",1
[105],"[Push Down Attribute, Extract Method]",1
[149],"[Extract Class, Extract Variable, Move Method, Push Down Method, Extract Variable, Push Down Method]",1
[75],"[Rename Variable, Extract Method, Rename Variable, Change Variable Type, Rename Variable, Change Variable Type, Rename Variable, Change Variable Type, Rename Variable, Change Variable Type, Rename Parameter, Rename Variable]",1
[14],"[Rename Attribute, Rename Attribute, Extract Method]",1
[143],"[Extract Superclass, Move Method, Rename Method, Rename Parameter, Change Parameter Type, Extract Method]",1
[94],"[Extract Method, Change Return Type]",1
[153],"[Change Variable Type, Move Method, Extract Method]",1
