CompositeId,Refactorings,Project,Current Commit,Previous Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
369,"['Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Attribute', 'Rename Parameter', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Rename Parameter']",fresco,b001575b6bad4ea62ab9d6653651beb51f47785e,6cfd55e107f51f8072fc7c5091a633f8592c21ee,LongParameterList,1,2,1,0,0
369,"['Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Attribute', 'Rename Parameter', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Rename Parameter']",fresco,b001575b6bad4ea62ab9d6653651beb51f47785e,6cfd55e107f51f8072fc7c5091a633f8592c21ee,FeatureEnvy,6,5,0,1,0
369,"['Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Attribute', 'Rename Parameter', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Rename Parameter']",fresco,b001575b6bad4ea62ab9d6653651beb51f47785e,6cfd55e107f51f8072fc7c5091a633f8592c21ee,DispersedCoupling,0,1,1,0,0
393,"['Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",fresco,27ebf577e7dd716ad00ea6ab0b31d94ce1379f9c,5c0f9d678c3524fc223e6cb0f3f3ae49c851a698,LongMethod,1,1,0,0,0
393,"['Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",fresco,27ebf577e7dd716ad00ea6ab0b31d94ce1379f9c,5c0f9d678c3524fc223e6cb0f3f3ae49c851a698,MessageChain,1,1,0,0,0
393,"['Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",fresco,27ebf577e7dd716ad00ea6ab0b31d94ce1379f9c,5c0f9d678c3524fc223e6cb0f3f3ae49c851a698,FeatureEnvy,5,2,0,3,0
393,"['Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",fresco,27ebf577e7dd716ad00ea6ab0b31d94ce1379f9c,5c0f9d678c3524fc223e6cb0f3f3ae49c851a698,LongParameterList,0,3,1,0,0
396,"['Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Extract Method', 'Rename Method', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute']",fresco,27ebf577e7dd716ad00ea6ab0b31d94ce1379f9c,36dd783deed7299ecf16b37a2d56cc66d07fb637,FeatureEnvy,6,4,0,2,0
409,"['Extract Class', 'Move Method', 'Push Down Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Rename Method']",fresco,94df8153284d3b04966f4c34a0795f43d1dbbada,b3a41a9838a1fd886db35d7f9984ac52a813f692,FeatureEnvy,1,0,0,0,0
409,"['Extract Class', 'Move Method', 'Push Down Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Rename Method']",fresco,94df8153284d3b04966f4c34a0795f43d1dbbada,b3a41a9838a1fd886db35d7f9984ac52a813f692,LongParameterList,0,1,1,0,0
435,"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Rename Method', 'Change Attribute Type', 'Inline Method', 'Inline Method', 'Rename Method', 'Inline Method', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Method', 'Move Method', 'Move Attribute', 'Extract Method', 'Rename Attribute', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Attribute', 'Split Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute']",fresco,1c63db3d8297c89e51b95a95d3797562acf9a702,f02ed7a80f4f3a612fd78ef6ce6d7cc9bd16b7a7,FeatureEnvy,5,6,1,0,0
435,"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Rename Method', 'Change Attribute Type', 'Inline Method', 'Inline Method', 'Rename Method', 'Inline Method', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Method', 'Move Method', 'Move Attribute', 'Extract Method', 'Rename Attribute', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Attribute', 'Split Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute']",fresco,1c63db3d8297c89e51b95a95d3797562acf9a702,f02ed7a80f4f3a612fd78ef6ce6d7cc9bd16b7a7,LongMethod,1,0,0,0,0
435,"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Rename Method', 'Change Attribute Type', 'Inline Method', 'Inline Method', 'Rename Method', 'Inline Method', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Method', 'Move Method', 'Move Attribute', 'Extract Method', 'Rename Attribute', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Attribute', 'Split Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute']",fresco,1c63db3d8297c89e51b95a95d3797562acf9a702,f02ed7a80f4f3a612fd78ef6ce6d7cc9bd16b7a7,IntensiveCoupling,2,1,0,1,0
435,"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Rename Method', 'Change Attribute Type', 'Inline Method', 'Inline Method', 'Rename Method', 'Inline Method', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Method', 'Move Method', 'Move Attribute', 'Extract Method', 'Rename Attribute', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Attribute', 'Split Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute']",fresco,1c63db3d8297c89e51b95a95d3797562acf9a702,f02ed7a80f4f3a612fd78ef6ce6d7cc9bd16b7a7,LongParameterList,0,1,1,0,0
446,"['Change Return Type', 'Extract Method', 'Change Return Type', 'Extract Method']",fresco,c7bec4ae930d5918b4a8aba48c1a111b0d5c329b,542cdcc14fc6bbfe13c613f787835c794d42f397,FeatureEnvy,6,4,0,2,0
463,"['Extract Method', 'Rename Attribute', 'Rename Method', 'Extract Method']",fresco,c3f92c82aac0722c2fe26f4006b054434d8f1f58,a5c86675ec20f9eb5468cdd037f6efac5e13d4a1,LongMethod,1,0,0,0,0
505,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,1a1f5653fc02553f48da03eae8f78548d17a27f4,6eb0e62ce1501052c2d9ec1d4a73787c50a4c667,LongParameterList,1,1,0,0,0
505,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,1a1f5653fc02553f48da03eae8f78548d17a27f4,6eb0e62ce1501052c2d9ec1d4a73787c50a4c667,FeatureEnvy,4,3,0,1,0
505,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,1a1f5653fc02553f48da03eae8f78548d17a27f4,6eb0e62ce1501052c2d9ec1d4a73787c50a4c667,DispersedCoupling,2,1,0,1,0
505,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,1a1f5653fc02553f48da03eae8f78548d17a27f4,6eb0e62ce1501052c2d9ec1d4a73787c50a4c667,LongMethod,1,1,0,0,0
505,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,1a1f5653fc02553f48da03eae8f78548d17a27f4,6eb0e62ce1501052c2d9ec1d4a73787c50a4c667,ShotgunSurgery,1,0,0,0,0
510,"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Rename Method', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Method']",fresco,ce9fc62968353a58a53ee96e60d6b26316f18d6d,db58718f0e912f74369491a3aceeb94dcf53b158,FeatureEnvy,31,12,0,19,0
510,"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Rename Method', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Method']",fresco,ce9fc62968353a58a53ee96e60d6b26316f18d6d,db58718f0e912f74369491a3aceeb94dcf53b158,LongMethod,4,2,0,2,0
510,"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Rename Method', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Method']",fresco,ce9fc62968353a58a53ee96e60d6b26316f18d6d,db58718f0e912f74369491a3aceeb94dcf53b158,MessageChain,27,13,0,14,0
557,"['Move Method', 'Rename Parameter', 'Extract Method']",fresco,be644d671987a6d9d139edc92c94ff41caff83b1,8a6bc9537bb621dcb057bde8e0c20afc7a75a9b4,LongMethod,1,0,0,0,0
557,"['Move Method', 'Rename Parameter', 'Extract Method']",fresco,be644d671987a6d9d139edc92c94ff41caff83b1,8a6bc9537bb621dcb057bde8e0c20afc7a75a9b4,MessageChain,1,1,0,0,0
557,"['Move Method', 'Rename Parameter', 'Extract Method']",fresco,be644d671987a6d9d139edc92c94ff41caff83b1,8a6bc9537bb621dcb057bde8e0c20afc7a75a9b4,FeatureEnvy,3,3,0,0,0
557,"['Move Method', 'Rename Parameter', 'Extract Method']",fresco,be644d671987a6d9d139edc92c94ff41caff83b1,8a6bc9537bb621dcb057bde8e0c20afc7a75a9b4,LongParameterList,0,1,1,0,0
