Composite,Number of occurrence
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Extract Method, Change Parameter Type, Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Variable, Extract Method, Extract Method, Extract Method, Rename Parameter, Extract Method, Change Return Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Change Parameter Type, Extract Method, Extract Variable, Extract Method, Extract Method, Extract Variable, Rename Method, Rename Parameter, Rename Parameter, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Change Parameter Type, Extract Method, Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Method, Change Return Type, Change Parameter Type, Extract Method, Change Parameter Type, Rename Parameter, Change Parameter Type, Extract Method, Change Parameter Type, Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Rename Parameter, Change Parameter Type, Rename Parameter, Extract Method, Extract Method, Rename Parameter, Change Parameter Type, Extract Variable, Extract Method, Change Return Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Class, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Parameter, Extract Method, Extract Method, Rename Parameter, Extract Method, Rename Parameter, Extract Method, Extract Method, Rename Attribute, Extract Method, Extract Method, Change Parameter Type, Extract Method, Extract Method, Extract Method]",1
"[Move Method, Move Method, Rename Class]",1
"[Extract Method, Extract Method]",6
"[Change Parameter Type, Change Return Type, Change Attribute Type, Change Return Type, Change Return Type, Rename Method, Extract Class, Move Method, Extract Variable, Move Method, Change Return Type, Extract Class, Change Return Type, Move Attribute, Change Return Type, Move Method, Rename Attribute]",1
"[Rename Parameter, Extract Method, Extract Method, Rename Parameter, Rename Parameter, Rename Parameter, Rename Attribute, Rename Parameter, Rename Parameter, Extract Method, Rename Parameter, Rename Parameter, Rename Parameter]",1
